t[s]	U[V]	I[A]	Piro[°C]	TC-K[°C]
  5,400	 10,926	 21,631	700,054	882,700
  5,410	 10,921	 21,609	700,026	882,718
  5,420	 10,924	 21,585	700,061	882,718
  5,430	 10,920	 21,572	700,105	882,718
  5,440	 10,923	 21,544	700,110	882,718
  5,450	 10,920	 21,537	700,113	882,718
  5,460	 10,916	 21,502	700,097	882,738
  5,470	 10,919	 21,496	700,093	882,742
  5,480	 10,919	 21,470	700,051	882,718
  5,490	 10,925	 21,455	700,047	882,718
  5,500	 10,915	 21,433	700,030	882,718
  5,510	 10,920	 21,424	700,052	882,718
  5,520	 10,919	 21,417	700,085	882,718
  5,530	 10,926	 21,399	700,091	882,718
  5,540	 10,928	 21,394	700,095	882,718
  5,550	 10,919	 21,369	700,052	882,718
  5,560	 10,920	 21,365	700,040	882,718
  5,570	 10,919	 21,346	700,043	882,718
  5,580	 10,916	 21,339	700,046	882,718
  5,590	 10,917	 21,326	700,063	882,718
  5,600	 10,918	 21,306	700,061	882,718
  5,610	 10,922	 21,290	700,057	882,718
  5,620	 10,922	 21,266	700,057	882,718
  5,630	 10,921	 21,257	700,058	882,718
  5,640	 10,921	 21,236	700,051	882,718
  5,650	 10,921	 21,230	700,048	882,718
  5,660	 10,923	 21,201	700,052	882,718
  5,670	 10,919	 21,191	700,045	882,718
  5,680	 10,920	 21,168	699,987	882,718
  5,690	 10,917	 21,160	700,009	882,718
  5,700	 10,920	 21,151	700,059	882,718
  5,710	 10,918	 21,134	700,061	882,718
  5,720	 10,927	 21,127	700,064	882,718
  5,730	 10,924	 21,104	700,057	882,718
  5,740	 10,924	 21,099	700,054	882,718
  5,750	 10,919	 21,077	700,064	882,718
  5,760	 10,918	 21,072	700,067	882,718
  5,770	 10,924	 21,059	700,097	882,718
  5,780	 10,925	 21,048	700,092	882,718
  5,790	 10,915	 21,034	700,075	882,718
  5,800	 10,915	 21,014	700,065	882,718
