t[s]	U[V]	I[A]	Piro[C]	TC[C]
2.96	11.07	13.93	698.4	707.4
2.97	11.07	13.91	699.8	709.0
2.98	11.06	13.88	700.6	713.2
2.99	11.07	13.88	701.3	714.4
3.0	11.07	13.86	702.5	715.5
3.01	11.05	13.85	703.7	712.9
3.02	11.07	13.83	704.4	717.8
3.03	11.06	13.81	705.5	719.7
3.04	11.06	13.8	706.6	720.6
3.05	11.05	13.78	707.4	719.8
3.06	11.07	13.78	708.4	720.3
3.07	11.06	13.77	708.9	725.4
3.08	11.05	13.74	710.2	726.0
3.09	11.06	13.74	711.4	726.8
3.1	11.07	13.73	712.6	724.6
3.11	11.06	13.71	713.3	729.6
3.12	11.06	13.7	714.6	730.7
3.13	11.07	13.69	715.2	732.4
3.14	11.08	13.68	716.6	731.0
3.15	11.08	13.67	718.0	731.8
3.16	11.07	13.65	718.7	735.6
3.17	11.07	13.64	720.0	736.8
3.18	11.08	13.62	720.7	737.8
3.19	11.07	13.61	721.6	735.5
3.2	11.08	13.6	723.4	740.5
3.21	11.07	13.58	724.3	741.9
3.22	11.06	13.57	725.3	742.2
3.23	11.08	13.56	726.4	742.4
3.24	11.08	13.55	728.0	743.9
3.25	11.08	13.54	729.4	746.7
3.26	11.07	13.52	730.4	747.9
3.27	11.08	13.51	732.1	749.2
3.28	11.08	13.49	733.5	747.2
3.29	11.07	13.48	734.5	751.8
3.3	11.06	13.45	735.7	752.6
3.31	11.05	13.43	736.8	753.8
3.32	11.04	13.41	738.0	753.7
3.33	11.05	13.4	739.0	753.6
3.34	11.05	13.39	740.5	757.8
3.35	11.06	13.39	741.6	758.4
3.36	11.06	13.37	742.5	759.1
3.37	11.05	13.36	744.1	757.6
3.38	11.06	13.35	745.3	761.5
3.39	11.06	13.33	746.5	763.6
3.4	11.06	13.31	747.9	764.3
3.41	11.07	13.31	749.0	765.0
3.42	11.07	13.3	750.0	763.8
3.43	11.07	13.29	751.2	767.6
3.44	11.05	13.25	752.2	768.5
3.45	11.07	13.25	753.2	769.8
3.46	11.07	13.26	754.8	768.1
3.47	11.09	13.25	755.7	772.4
3.48	11.07	13.23	756.8	772.9
3.49	11.07	13.21	757.8	774.0
3.5	11.08	13.2	759.2	774.1
3.51	11.07	13.18	760.1	774.5
3.52	11.05	13.15	761.0	777.7
3.53	11.06	13.15	762.0	778.3
3.54	11.05	13.13	763.1	779.4
3.55	11.05	13.13	763.8	777.9
3.56	11.06	13.12	764.2	780.4
3.57	11.06	13.1	765.4	783.2
3.58	11.06	13.09	766.2	783.8
3.59	11.06	13.07	767.1	784.3
3.6	11.05	13.05	767.8	782.9
3.61	11.07	13.07	768.7	787.2
3.62	11.06	13.03	769.4	788.0
3.63	11.06	13.03	770.3	788.2
3.64	11.06	13.0	771.2	787.4
3.65	11.06	13.0	771.9	790.5
3.66	11.07	12.99	773.2	791.2
3.67	11.06	12.96	774.4	793.1
3.68	11.07	12.97	775.4	793.1
3.69	11.05	12.94	776.7	792.8
3.7	11.07	12.94	777.8	796.5
3.71	11.07	12.93	778.7	797.2
3.72	11.07	12.92	779.9	797.5
3.73	11.06	12.89	781.0	796.8
3.74	11.06	12.88	781.6	799.3
3.75	11.05	12.86	782.7	801.2
3.76	11.07	12.86	783.6	801.9
3.77	11.06	12.85	784.6	802.6
3.78	11.07	12.83	785.5	802.2
3.79	11.06	12.82	786.8	805.6
3.8	11.06	12.8	787.6	805.6
3.81	11.05	12.78	788.6	805.9
3.82	11.06	12.77	789.8	805.1
3.83	11.06	12.77	790.7	809.1
3.84	11.07	12.77	791.7	810.0
3.85	11.05	12.74	793.3	810.7
3.86	11.05	12.72	793.8	810.9
3.87	11.06	12.71	795.0	811.0
3.88	11.06	12.7	795.8	813.8
3.89	11.06	12.69	796.6	814.7
3.9	11.07	12.68	797.1	815.7
3.91	11.05	12.66	798.0	814.8
3.92	11.06	12.65	798.4	817.7
3.93	11.06	12.64	799.2	818.1
3.94	11.06	12.63	799.9	819.0
3.95	11.07	12.62	800.9	818.8
3.96	11.06	12.6	801.6	819.4
3.97	11.06	12.59	802.0	822.1
3.98	11.05	12.57	803.2	822.3
3.99	11.05	12.56	804.0	823.5
4.0	11.07	12.56	804.9	822.3
4.01	11.06	12.54	805.8	825.5
4.02	11.06	12.53	806.8	825.4
4.03	11.06	12.52	807.9	826.9
4.04	11.05	12.5	808.9	826.8
4.05	11.06	12.5	809.8	827.6
4.06	11.06	12.48	810.8	829.7
4.07	11.05	12.46	811.6	830.4
4.08	11.05	12.45	812.6	831.0
4.09	11.05	12.43	813.7	830.1
4.1	11.07	12.44	814.5	833.0
4.11	11.06	12.42	815.1	833.7
4.12	11.05	12.4	816.1	834.5
4.13	11.06	12.39	816.8	834.0
4.14	11.05	12.38	817.8	834.7
4.15	11.07	12.38	818.6	837.8
4.16	11.06	12.36	819.4	837.7
4.17	11.06	12.35	820.5	838.5
4.18	11.06	12.34	821.4	837.4
4.19	11.06	12.32	821.9	840.6
4.2	11.06	12.32	822.5	841.0
4.21	11.07	12.3	823.4	841.7
4.22	11.06	12.28	823.9	841.7
4.23	11.07	12.28	825.0	843.0
4.24	11.06	12.27	825.5	844.7
4.25	11.06	12.25	826.3	845.6
4.26	11.06	12.24	827.0	845.7
4.27	11.07	12.23	827.8	844.7
4.28	11.07	12.22	828.8	848.0
4.29	11.06	12.2	829.8	848.6
4.3	11.07	12.19	830.2	849.0
4.31	11.06	12.18	831.0	848.3
4.32	11.07	12.17	831.8	850.9
4.33	11.06	12.15	832.8	852.0
4.34	11.06	12.14	833.8	852.3
4.35	11.06	12.14	834.4	852.4
4.36	11.07	12.13	835.0	853.2
4.37	11.05	12.1	836.2	855.0
4.38	11.07	12.1	837.0	855.7
4.39	11.05	12.08	837.7	856.1
4.4	11.07	12.07	838.6	855.6
4.41	11.05	12.06	839.6	858.6
4.42	11.05	12.04	840.2	858.7
4.43	11.05	12.03	841.6	859.4
4.44	11.06	12.03	841.8	859.1
4.45	11.05	12.01	842.6	861.0
4.46	11.06	12.0	843.2	862.1
4.47	11.05	11.99	843.8	862.4
4.48	11.07	11.99	844.6	862.6
4.49	11.06	11.98	845.2	862.5
4.5	11.06	11.95	845.7	865.0
4.51	11.06	11.95	846.6	865.5
4.52	11.07	11.94	847.2	866.1
4.53	11.06	11.93	847.7	865.7
4.54	11.07	11.92	848.6	867.5
4.55	11.06	11.91	849.4	868.3
4.56	11.06	11.88	850.0	869.0
4.57	11.05	11.88	850.7	869.1
4.58	11.07	11.87	851.7	868.9
4.59	11.06	11.86	852.4	871.8
4.6	11.06	11.85	853.3	872.2
4.61	11.06	11.83	854.0	871.7
4.62	11.06	11.83	854.8	871.5
4.63	11.06	11.81	855.5	874.7
4.64	11.06	11.8	856.0	875.3
4.65	11.06	11.79	857.2	875.3
4.66	11.05	11.78	858.0	874.9
4.67	11.06	11.77	858.4	877.0
4.68	11.05	11.76	859.3	877.9
4.69	11.06	11.74	859.8	878.3
4.7	11.05	11.73	860.4	878.9
4.71	11.06	11.72	860.7	878.4
4.72	11.06	11.71	861.3	880.7
4.73	11.06	11.69	862.1	881.0
4.74	11.06	11.69	863.0	881.1
4.75	11.08	11.69	863.5	881.0
4.76	11.05	11.67	864.4	883.4
4.77	11.07	11.65	865.0	883.7
4.78	11.06	11.65	865.8	883.9
4.79	11.06	11.63	866.4	883.9
4.8	11.05	11.62	867.0	885.4
4.81	11.06	11.61	867.7	886.6
4.82	11.07	11.6	868.8	886.8
4.83	11.06	11.59	869.2	887.6
4.84	11.06	11.58	869.8	887.2
4.85	11.07	11.57	870.6	889.7
4.86	11.05	11.56	871.3	890.1
4.87	11.06	11.56	871.8	890.9
4.88	11.06	11.54	872.5	889.5
4.89	11.06	11.52	873.4	891.9
4.9	11.06	11.52	873.9	892.6
4.91	11.06	11.51	874.0	893.0
4.92	11.06	11.5	874.4	893.3
4.93	11.06	11.49	875.3	893.6
4.94	11.05	11.47	875.5	895.3
4.95	11.06	11.47	876.2	895.8
4.96	11.06	11.46	877.3	896.5
4.97	11.06	11.44	877.6	896.1
4.98	11.06	11.43	878.3	898.0
4.99	11.06	11.42	878.8	898.5
5.0	11.06	11.41	879.6	898.9
5.01	11.06	11.41	880.8	898.7
5.02	11.07	11.39	881.1	900.0
5.03	11.06	11.38	882.0	900.4
5.04	11.07	11.37	882.5	901.3
5.05	11.07	11.37	882.9	902.5
5.06	11.06	11.35	883.5	901.8
5.07	11.06	11.34	884.0	903.7
5.08	11.07	11.34	884.8	904.3
5.09	11.05	11.32	885.3	905.1
5.1	11.05	11.3	885.7	904.1
5.11	11.05	11.3	886.3	905.8
5.12	11.06	11.29	886.8	906.4
5.13	11.05	11.28	887.0	906.9
5.14	11.06	11.27	887.6	907.2
5.15	11.05	11.25	888.0	907.6
5.16	11.05	11.24	888.6	908.9
5.17	11.06	11.24	889.4	909.1
5.18	11.05	11.22	889.7	909.5
5.19	11.05	11.21	890.4	909.3
5.2	11.06	11.21	891.2	911.2
5.21	11.05	11.2	891.4	911.3
5.22	11.09	11.2	892.2	911.5
5.23	11.06	11.18	892.9	911.5
5.24	11.06	11.17	893.6	913.5
5.25	11.07	11.17	894.2	913.4
5.26	11.07	11.15	894.7	914.7
5.27	11.07	11.15	895.3	914.8
5.28	11.06	11.13	896.1	915.5
5.29	11.06	11.12	896.7	916.0
5.3	11.07	11.11	897.4	916.3
5.31	11.06	11.09	897.5	916.8
5.32	11.07	11.09	898.3	917.1
5.33	11.06	11.07	898.4	918.5
5.34	11.07	11.07	898.8	918.5
5.35	11.06	11.06	899.2	919.3
5.36	11.05	11.04	899.9	919.0
5.37	11.06	11.04	900.4	920.4
5.38	11.05	11.02	901.0	920.7
5.39	11.06	11.02	901.3	921.4
5.4	11.07	11.02	901.8	921.5
5.41	11.05	11.0	902.2	922.5
5.42	11.05	10.99	902.7	923.2
5.43	11.06	10.98	903.2	924.3
5.44	11.06	10.97	903.6	924.1
5.45	11.07	10.97	904.1	924.5
5.46	11.05	10.95	904.9	925.2
5.47	11.06	10.94	905.1	925.6
5.48	11.06	10.94	905.2	925.7
5.49	11.06	10.92	905.6	926.0
5.5	11.05	10.91	906.3	926.7
5.51	11.06	10.9	906.4	926.9
5.52	11.06	10.9	907.0	928.2
5.53	11.07	10.89	907.3	928.0
5.54	11.05	10.87	907.4	929.2
5.55	11.07	10.87	907.7	929.9
5.56	11.06	10.85	908.1	929.8
5.57	11.07	10.85	908.2	930.1
5.58	11.07	10.84	908.4	930.2
5.59	11.07	10.83	908.6	931.5
5.6	11.07	10.83	908.8	932.2
5.61	11.06	10.82	909.2	932.7
5.62	11.04	10.79	909.5	932.3
5.63	11.06	10.79	910.1	933.8
5.64	11.07	10.79	910.6	934.2
5.65	11.06	10.78	910.7	934.3
